 ,X,Y,Angle,Length
1,0.001137710,0.000334948,-172.405356631,0.000056111
2,0.000905966,0.000355959,-172.874983651,0.000104555
3,0.000848493,0.000368937,-173.728922550,0.000170340
4,0.000162530,0.000446185,-173.362704761,0.000257560
5,0.000080956,0.000462253,-173.703181281,0.000135535
6,0.000628491,0.000408488,6.340191746,0.000033577
7,0.000718716,0.000399218,6.788974574,0.000118350
8,0.001171081,0.000404162,7.180535498,0.000237927
9,0.001223610,0.000358431,-172.635253755,0.000137053
10,0.000947989,0.000393038,-173.506474687,0.000345868
11,0.000776189,0.000441859,6.191307422,0.000474852
12,0.000779279,0.000426410,-173.977884380,0.000851303
13,0.001006697,0.000459781,-174.494522142,0.000078218
14,0.000819448,0.000478320,-173.835158218,0.000268612
15,0.000635906,0.000496860,-177.739498089,0.000070494
16,0.000452983,0.000490062,-174.774761391,0.000470426
17,0.000160058,0.000520961,-173.354721790,0.000095818
18,0.000420230,0.000457927,-174.134028858,0.000136635
19,0.000661244,0.000420230,-174.596208640,0.000138979
20,0.000403544,0.000495624,5.989447747,0.000570404
21,0.001183441,0.000462253,-176.099506258,0.000040862
22,0.000250284,0.000544445,-174.093858886,0.000080803
23,0.000357813,0.000520961,-172.694240467,0.000145792
24,0.001019057,0.000457927,-176.478546623,0.000060676
