 ,X,Y,Angle,Length
1,0.001169845,0.000326296,172.800766362,0.000178138
2,0.000985686,0.000315790,174.999355402,0.000298997
3,0.000939955,0.000278093,174.674259375,0.000110445
4,0.000970236,0.000294779,173.659808254,0.000169111
5,0.000778043,0.000257700,171.869897646,0.000058731
6,0.000689053,0.000266351,178.290185956,0.000124888
7,0.000721188,0.000278093,175.932480433,0.000209405
8,0.000758885,0.000290453,176.423665625,0.000074323
9,0.000709447,0.000299105,179.131948550,0.000123622
10,0.000601917,0.000288599,179.421274434,0.000091470
11,0.000509838,0.000268205,180.000000000,0.000063034
12,0.000446803,0.000277475,179.526491941,0.000112480
13,0.000406634,0.000252756,172.647620640,0.000087230
14,0.000289217,0.000258318,180.000000000,0.000205171
15,0.000050057,0.000268205,-175.794642998,0.000063228
16,0.000212587,0.000317026,-176.905941941,0.000069314
17,0.000257700,0.000333712,4.044485574,0.000184574
18,0.000378825,0.000351633,2.669889762,0.000179424
19,0.000613659,0.000332476,0.000000000,0.000285509
20,0.000737256,0.000339892,1.357465845,0.000196581
21,0.000638378,0.000360285,4.398705355,0.000182196
22,0.000450511,0.000394274,4.890402058,0.000174902
23,0.000577198,0.000396128,3.629570856,0.000250182
24,0.000791021,0.000459781,6.775656169,0.000189180
25,0.001030181,0.000426410,8.639636368,0.000266216
26,0.000827482,0.000510456,-167.610090878,0.000416258
27,0.000509220,0.000572254,-170.862848986,0.000135326
28,0.000850965,0.000591412,-164.389011466,0.000132255
29,0.000912764,0.000524051,-164.794617204,0.000188294
30,0.000153878,0.000732312,5.469094970,0.000088179
31,0.000227418,0.000608715,6.722476512,0.000246368
