 ,X,Y,Angle,Length
1,0.001009169,0.000360285,-172.092837297,0.000101033
2,0.000526523,0.000398600,6.146625660,0.000121886
3,0.000671750,0.000397364,6.049526304,0.000344235
4,0.000247812,0.000441859,-173.059016571,0.000215392
5,0.000373881,0.000442477,5.885987833,0.000090766
6,0.000786077,0.000384387,6.581944655,0.000559888
7,0.000139665,0.000488208,-173.522540238,0.000214019
8,0.000241632,0.000465343,7.438211887,0.000337730
9,0.000599445,0.000431353,6.035282397,0.000425037
10,0.001114845,0.000361521,6.390495315,0.000350643
11,0.001064788,0.000385005,5.902017038,0.000443605
12,0.000541355,0.000457309,-174.217607678,0.000295653
13,0.000867651,0.000428264,7.125016349,0.000029894
14,0.001148216,0.000393656,7.334378801,0.000284071
15,0.000970854,0.000428264,8.198068846,0.000111169
16,0.001161194,0.000403544,6.993904954,0.000252797
17,0.000628491,0.000475848,-175.128608968,0.000492476
18,0.000072922,0.000535175,5.460212592,0.000126673
19,0.000210733,0.000530849,-174.193273094,0.000331687
20,0.000479556,0.000520961,4.844000375,0.000275388
21,0.000904112,0.000480792,5.420595284,0.000127903
22,0.001135238,0.000460399,6.596738298,0.000138130
23,0.000518489,0.000454219,5.134907031,0.000405748
24,0.000446185,0.000468433,5.931526925,0.000576550
25,0.000598827,0.000430118,5.906141114,0.000433642
26,0.001066642,0.000384387,-173.672964575,0.000447687
27,0.000674222,0.000423938,6.806330357,0.000581333
28,0.000637760,0.000443095,5.943400132,0.000638657
